finding_id,category,description
FIND7030,Cutoff/Timing,Revenue recognized 16 days before shipment date for invoice JE7030.
FIND7043,Duplicate/Data Entry,Identical debit and credit amounts posted on the same day under two separate entry numbers.
FIND7015,Cutoff/Timing,Journal entry dated last day of the quarter recognizes revenue prior to delivery.
FIND7092,Authorization/Access,No segregation of duties was evident between preparation and approval of entry JE7092.
FIND7082,Authorization/Access,No segregation of duties was evident between preparation and approval of entry JE7082.
FIND7020,Cutoff/Timing,Invoice JE7020 was booked in advance of the related shipment confirmation.
FIND7045,Duplicate/Data Entry,Identical debit and credit amounts posted on the same day under two separate entry numbers.
FIND7012,Cutoff/Timing,Transaction posted at period-end appears to relate to the following fiscal year.
FIND7041,Cutoff/Timing,Transaction posted at period-end appears to relate to the following fiscal year.
FIND7098,Authorization/Access,No segregation of duties was evident between preparation and approval of entry JE7098.
FIND7090,Authorization/Access,Entry JE7090 was posted by an employee outside their normal job responsibilities.
FIND7095,Authorization/Access,No segregation of duties was evident between preparation and approval of entry JE7095.
FIND7074,Duplicate/Data Entry,Duplicate posting detected for the same vendor invoice on the same date.
FIND7106,Authorization/Access,Journal entry lacks evidence of required managerial approval prior to posting.
FIND7060,Duplicate/Data Entry,Entry JE7060 appears to be a repeat of a prior posting with no distinguishing reference.
FIND7091,Authorization/Access,No segregation of duties was evident between preparation and approval of entry JE7091.
FIND7067,Duplicate/Data Entry,Entry JE7067 appears to be a repeat of a prior posting with no distinguishing reference.
FIND7055,Duplicate/Data Entry,Same transaction was recorded twice due to a data entry error during month-end close.
FIND7109,Authorization/Access,Journal entry lacks evidence of required managerial approval prior to posting.
FIND7101,Authorization/Access,No segregation of duties was evident between preparation and approval of entry JE7101.
FIND7154,Documentation/Support Missing,Supporting documentation for entry JE7154 could not be located during testing.
FIND7036,Cutoff/Timing,Revenue recognized 35 days before shipment date for invoice JE7036.
FIND7052,Duplicate/Data Entry,Duplicate posting detected for the same vendor invoice on the same date.
FIND7006,Cutoff/Timing,Revenue recognized 5 days before shipment date for invoice JE7006.
FIND7085,Authorization/Access,Posting was made by a user account with access beyond their assigned role.
FIND7032,Cutoff/Timing,Revenue recognized 10 days before shipment date for invoice JE7032.
FIND7017,Cutoff/Timing,Entry recorded before the performance obligation was satisfied per contract terms.
FIND7146,Documentation/Support Missing,No vendor confirmation was available to support the recorded liability.
FIND7144,Documentation/Support Missing,Supporting documentation for entry JE7144 could not be located during testing.
FIND7094,Authorization/Access,Journal entry lacks evidence of required managerial approval prior to posting.
FIND7128,Documentation/Support Missing,Supporting documentation for entry JE7128 could not be located during testing.
FIND7104,Authorization/Access,No segregation of duties was evident between preparation and approval of entry JE7104.
FIND7112,Authorization/Access,Entry JE7112 was posted by an employee outside their normal job responsibilities.
FIND7132,Documentation/Support Missing,Transaction lacks a contract or purchase order to support the recorded amount.
FIND7059,Duplicate/Data Entry,Entry JE7059 appears to be a repeat of a prior posting with no distinguishing reference.
FIND7103,Authorization/Access,No segregation of duties was evident between preparation and approval of entry JE7103.
FIND7048,Duplicate/Data Entry,"Two journal entries with identical date, account, and amount were identified for entry JE7048."
FIND7070,Duplicate/Data Entry,Entry JE7070 appears to be a repeat of a prior posting with no distinguishing reference.
FIND7034,Cutoff/Timing,Revenue recognized 35 days before shipment date for invoice JE7034.
FIND7057,Duplicate/Data Entry,"Two journal entries with identical date, account, and amount were identified for entry JE7057."
FIND7133,Documentation/Support Missing,Expense report attached to the entry does not itemize the underlying charges.
FIND7111,Authorization/Access,Posting was made by a user account with access beyond their assigned role.
FIND7107,Authorization/Access,Transaction was approved by an individual without documented signing authority.
FIND7155,Documentation/Support Missing,Supporting documentation for entry JE7155 could not be located during testing.
FIND7013,Cutoff/Timing,Transaction posted at period-end appears to relate to the following fiscal year.
FIND7115,Authorization/Access,Journal entry lacks evidence of required managerial approval prior to posting.
FIND7076,Duplicate/Data Entry,Duplicate posting detected for the same vendor invoice on the same date.
FIND7029,Cutoff/Timing,Journal entry dated last day of the quarter recognizes revenue prior to delivery.
FIND7054,Duplicate/Data Entry,Identical debit and credit amounts posted on the same day under two separate entry numbers.
